pas_de_temps,px moyen,px min,px max,count sample
2025-11-09T10:15:00,148.166666666667,148,149,30
2025-11-09T10:30:00,148.933333333333,148,150,30
2025-11-09T10:45:00,151.1,150,153,30
2025-11-09T11:00:00,148.566666666667,148,149,30
2025-11-09T11:15:00,149,149,149,30
2025-11-09T11:30:00,127.133333333333,105,147,30
2025-11-09T11:45:00,150.866666666667,150,152,30
2025-11-09T12:00:00,99.0333333333333,97,102,30
2025-11-09T12:30:00,183.133333333333,181,185,30
2025-11-09T12:45:00,157.466666666667,152,160,30
2025-11-09T13:00:00,153.733333333333,151,155,30
2025-11-09T13:15:00,142.466666666667,120,159,30
2025-11-09T13:30:00,149.7,149,150,30
2025-11-09T13:45:00,160.033333333333,159,161,30
2025-11-09T14:00:00,151.2,148,154,30
2025-11-09T14:15:00,170.633333333333,169,173,30
2025-11-09T14:30:00,153,152,154,30
2025-11-09T14:45:00,151.966666666667,151,153,30
2025-11-09T15:00:00,155.366666666667,154,157,30
2025-11-09T15:15:00,143.966666666667,143,145,30
2025-11-09T15:30:00,152,151,153,30
2025-11-09T15:45:00,146.966666666667,146,148,30
2025-11-09T16:00:00,151.566666666667,151,152,30
2025-11-09T16:15:00,150.6,149,152,30
2025-11-09T16:30:00,155.366666666667,154,157,30
2025-11-09T16:45:00,143.933333333333,143,146,30
2025-11-09T17:00:00,111.5,110,112,30
2025-11-09T17:15:00,81.0666666666667,43,93,30
2025-11-09T17:30:00,88.7333333333333,86,91,30
2025-11-09T17:45:00,99.2666666666667,80,108,30
2025-11-09T18:00:00,93.6333333333333,92,96,30
2025-11-09T18:15:00,107.633333333333,104,111,30
2025-11-09T18:30:00,94,47,102,30
2025-11-09T18:45:00,107.333333333333,107,109,30
2025-11-09T19:00:00,101.366666666667,97,104,30
2025-11-09T19:15:00,105.633333333333,104,107,30
2025-11-09T19:30:00,90.3333333333333,65,101,30
2025-11-09T19:45:00,104.8,104,106,30
2025-11-09T20:00:00,99.2333333333333,96,102,30
2025-11-09T20:15:00,105.8,104,108,30
2025-11-09T20:30:00,104.033333333333,101,106,30
2025-11-09T20:45:00,102.6,101,104,30
2025-11-09T21:00:00,112.166666666667,111,113,30
